"elev_kon";"vitsord_ma";"vitsord_mo";"utb_pabygg_mamma";"utb_pabygg_pappa";"medievanor1";"medievanor2";"medievanor3";"hur_ofta_lasbarn1";"hur_ofta_lasbarn2";"hur_ofta_lasbarn3";"hur_ofta_lasbarn5";"hur_garna_lasbarn1";"hur_garna_lasbarn2";"hur_garna_lasbarn3";"hur_garna_lasbarn5";"dist";"imp";"moto";"rikt";"uppr";"skif";"efig";"efpl";"efutf";"efutv"
"Flicka";NA;NA;5;5;3;2;3;4;3;2;2;4;4;3;4;0;0;0;0;0;0;0;0;1;0
"Pojke";NA;NA;5;5;3;3;2;4;5;1;1;6;5;NA;NA;2;5;2;1;0;0;1;1;0;1
"Pojke";9;8;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0;2;0;0;1;0;1;0
"Flicka";8;9;6;5;5;4;4;4;3;3;1;6;6;4;1;2;0;0;4;1;0;2;0;3;0
"Pojke";6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;14;4;7;3;2;4;2;2;0
"Pojke";7;7;1;3;4;2;2;4;4;2;2;5;5;5;4;7;0;0;4;7;4;6;0;6;3
"Flicka";9;9;4;4;3;3;2;4;4;5;5;7;5;7;7;0;0;0;1;0;0;3;0;1;0
"Pojke";NA;NA;NA;6;3;4;3;4;4;2;3;5;4;2;3;5;13;5;4;8;5;2;4;13;3
"Pojke";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;7;1;7;10;5;8;7;12;4
"Pojke";NA;NA;2;3;3;2;2;4;4;4;3;6;6;4;5;0;0;0;0;0;0;1;0;0;0
"Pojke";NA;NA;2;NA;6;6;4;3;4;1;1;3;3;1;2;1;2;0;2;4;4;4;2;4;2
"Pojke";NA;NA;4;4;3;2;3;4;4;5;5;6;5;7;7;0;6;7;4;4;1;0;1;2;0
"Pojke";8;6;5;4;2;2;2;4;4;1;5;3;3;1;7;2;2;0;2;0;1;1;0;1;0
"Pojke";9;7;5;4;3;1;2;4;4;4;4;4;4;5;7;1;6;3;2;3;1;2;1;3;3
"Flicka";7;7;4;1;4;3;3;4;3;2;1;6;6;6;3;1;0;1;0;0;0;0;0;0;0
"Flicka";9;8;5;6;2;3;2;3;1;2;2;6;0;5;5;3;0;1;1;2;0;0;0;1;0
"Pojke";9;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2;1;0;0;0;0;0;1;0
"Flicka";8;8;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;2;0;0;0;0;0;0
"Pojke";6;7;4;1;3;2;2;5;2;2;1;4;4;3;3;7;9;2;7;7;3;6;1;7;2
"Flicka";9;9;4;2;2;2;2;NA;NA;5;2;7;7;7;4;0;0;0;0;0;0;0;0;0;0
"Pojke";8;8;4;3;3;2;3;4;4;3;2;6;6;6;2;0;2;0;0;0;0;0;0;0;0
"Pojke";8;8;6;5;2;2;2;5;5;4;3;5;5;5;6;3;5;0;2;0;1;0;0;0;0
"Pojke";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;0;2;2;0;2;0;2;1
"Flicka";NA;NA;5;4;4;2;1;4;2;5;1;6;7;7;1;1;0;0;0;0;0;0;0;0;0
"Pojke";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Pojke";NA;NA;NA;2;5;4;3;NA;2;1;3;4;2;1;5;2;5;1;3;7;3;4;0;8;2
