"elev_kon";"vitsord_ma";"vitsord_mo";"utb_pabygg_mamma";"utb_pabygg_pappa";"medievanor1";"medievanor2";"medievanor3";"hur_ofta_lasbarn1";"hur_ofta_lasbarn2";"hur_ofta_lasbarn3";"hur_ofta_lasbarn4";"hur_ofta_lasbarn5";"hur_ofta_lasbarn6";"hur_ofta_lasbarn7";"hur_garna_lasbarn1";"hur_garna_lasbarn2";"hur_garna_lasbarn3";"hur_garna_lasbarn4";"hur_garna_lasbarn5";"hur_garna_lasbarn6";"hur_garna_lasbarn7";"dist";"imp";"uppr";"moto";"rikt";"skif";"efig";"efpl";"efutf";"efutv";"attention"
"Pojke";9;9;2;1;4;5;2;5;5;3;2;3;3;6;6;6;7;6;7;6;7;1;1;0;1;0;0;0;0;0;0;3
"Pojke";9;8;5;4;2;3;4;2;2;1;1;4;4;5;4;4;1;4;7;6;7;0;0;1;2;0;0;0;0;0;2;5
"Pojke";7;7;4;3;2;7;7;2;3;1;1;5;2;2;2;4;1;2;7;2;2;0;0;1;0;1;0;3;0;1;2;8
"Flicka";8;9;3;4;3;7;2;1;3;2;1;2;1;4;3;3;3;3;6;4;5;0;0;0;0;1;0;0;0;0;0;1
"Flicka";9;8;4;3;4;4;2;3;4;2;1;2;3;3;4;4;3;1;4;4;4;0;0;0;0;0;0;0;0;0;0;0
"Pojke";10;9;5;5;2;1;2;4;1;4;2;3;2;1;7;0;7;3;5;4;0;0;0;1;0;1;1;0;0;1;0;4
"Pojke";9;8;4;2;2;5;3;4;1;2;2;6;2;4;7;7;2;2;7;3;7;2;6;2;2;3;1;1;0;0;1;18
"Pojke";8;8;5;1;2;3;3;5;3;5;2;2;1;1;6;0;6;0;4;3;0;0;4;0;2;0;0;0;0;0;1;7
"Flicka";7;8;4;5;4;3;3;3;1;2;1;1;1;2;7;6;5;3;2;5;5;0;0;0;0;0;0;0;0;0;0;0
"Flicka";8;8;5;4;3;3;2;4;2;2;1;2;2;2;6;5;6;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0
"Pojke";9;8;5;3;2;2;2;5;3;4;3;5;2;1;6;5;5;3;7;3;2;0;0;0;0;1;0;1;0;0;0;2
